,path,index,x,y,v
198,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_198.png,198,826,269,37.0
199,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_199.png,199,828,236,37.0
200,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_200.png,200,400,197,37.0
201,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_201.png,201,400,200,36.0
202,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_202.png,202,615,375,43.0
203,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_203.png,203,826,269,40.0
204,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_204.png,204,826,271,36.0
205,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_205.png,205,404,201,37.0
206,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_206.png,206,400,202,36.0
207,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_207.png,207,400,202,35.0
208,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_208.png,208,400,200,39.0
209,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_209.png,209,400,199,39.0
210,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_210.png,210,826,270,37.0
211,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_211.png,211,400,199,35.0
212,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_212.png,212,400,199,37.0
213,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_213.png,213,825,270,35.0
214,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_214.png,214,400,200,36.0
215,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_215.png,215,400,200,36.0
216,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_216.png,216,400,203,35.0
217,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_217.png,217,400,199,37.0
218,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_218.png,218,827,280,37.0
219,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_219.png,219,400,201,37.0
220,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_220.png,220,400,201,36.0
221,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_221.png,221,826,269,34.0
222,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_222.png,222,680,155,41.0
223,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_223.png,223,400,200,36.0
224,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_224.png,224,677,151,241.0
225,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_225.png,225,687,174,203.0
226,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_226.png,226,400,199,37.0
227,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_227.png,227,701,223,243.0
228,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_228.png,228,400,203,39.0
229,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_229.png,229,400,196,36.0
230,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_230.png,230,826,270,37.0
231,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_231.png,231,406,202,37.0
232,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_232.png,232,825,269,37.0
233,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_233.png,233,400,201,34.0
234,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_234.png,234,400,198,39.0
235,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_235.png,235,828,225,38.0
236,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_236.png,236,825,270,37.0
237,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_237.png,237,404,201,35.0
238,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_238.png,238,734,488,48.0
239,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_239.png,239,405,200,36.0
240,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_240.png,240,737,644,48.0
241,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_241.png,241,755,638,43.0
242,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_242.png,242,771,552,205.0
243,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_243.png,243,779,650,174.0
244,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_244.png,244,787,538,185.0
245,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_245.png,245,400,200,37.0
246,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_246.png,246,785,486,234.0
247,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_247.png,247,783,461,248.0
248,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_248.png,248,400,198,38.0
249,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_249.png,249,777,409,243.0
250,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_250.png,250,769,385,81.0
251,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_251.png,251,765,359,237.0
